JD,Year,Month,Day,n_g,n_s,Wn,s_g,s_s,Ws,Wolf
2456925,2014,09,24,2,5,23,2,19,38,61.89
2456926,2014,09,25,2,16,38,2,25,49,87.44
2456927,2014,09,26,2,17,34,2,33,53,87.17
2456928,2014,09,27,1,16,30,3,35,61,90.49
2456929,2014,09,28,2,19,35,3,34,65,99.43
2456930,2014,09,29,2,25,49,4,30,69,117.39
2456931,2014,09,30,3,23,52,4,24,65,117.26
2456932,2014,10,1,2,17,42,3,19,52,94.06
2456933,2014,10,2,2,9,28,4,16,51,78.76
2456934,2014,10,3,2,7,28,3,17,51,79.33
2456935,2014,10,4,2,3,20,3,14,43,63.54
2456936,2014,10,5,1,3,15,3,13,39,53.92
2456937,2014,10,6,1,1,7,2,13,37,44.19
2456938,2014,10,7,0,1,6,3,8,35,40.89
2456939,2014,10,8,1,2,7,3,11,43,50.42
2456940,2014,10,9,0,1,3,2,11,36,39.19
2456941,2014,10,10,0,1,2,2,8,26,28.13
2456942,2014,10,11,0,0,2,1,4,17,18.26
2456943,2014,10,12,0,0,1,2,4,20,20.76
2456944,2014,10,13,0,1,6,2,4,20,25.71
2456945,2014,10,14,2,5,21,2,7,32,52.52
2456946,2014,10,15,2,5,23,2,5,26,48.58
2456947,2014,10,16,1,2,11,2,5,24,35.61
2456948,2014,10,17,1,1,8,2,9,31,39.03
2456949,2014,10,18,0,0,2,2,15,37,38.65
2456950,2014,10,19,1,4,10,2,23,43,52.67
2456951,2014,10,20,1,7,16,2,32,55,70.91
2456952,2014,10,21,1,4,10,2,34,53,62.81
2456953,2014,10,22,1,8,23,2,44,69,91.57
2456954,2014,10,23,2,7,22,2,50,74,96.56
2456955,2014,10,24,2,7,22,3,54,83,105.83
2456956,2014,10,25,1,6,19,2,43,67,86.59
2456957,2014,10,26,2,5,21,3,44,71,91.57
2456958,2014,10,27,1,2,9,2,30,52,61.42
2456959,2014,10,28,1,2,11,3,22,47,57.79
2456960,2014,10,29,1,2,9,3,14,47,56.41
2456961,2014,10,30,2,3,19,4,10,53,71.75
2456962,2014,10,31,2,4,19,3,6,36,54.37
2456963,2014,11,1,2,9,32,2,5,22,53.54
2456964,2014,11,2,3,15,42,1,6,19,60.82
2456965,2014,11,3,3,17,48,2,7,30,77.74
2456966,2014,11,4,3,10,38,3,10,42,80.16
2456967,2014,11,5,3,14,47,3,12,43,90.25
2456968,2014,11,6,3,16,42,2,9,26,67.15
2456969,2014,11,7,2,18,40,2,7,25,64.76
2456970,2014,11,8,2,18,33,2,3,18,51.41
2456971,2014,11,9,1,16,27,2,4,20,46.27
2456972,2014,11,10,1,11,20,1,4,18,38.32
2456973,2014,11,11,1,14,27,2,9,25,52.37
2456974,2014,11,12,2,18,37,2,23,47,83.35
2456975,2014,11,13,1,9,23,2,12,27,50.67
2456976,2014,11,14,2,8,26,2,14,32,58.21
2456977,2014,11,15,1,4,19,3,19,48,66.81
2456978,2014,11,16,1,1,11,4,26,61,72.25
2456979,2014,11,17,1,1,8,3,23,56,63.33
2456980,2014,11,18,0,1,5,3,21,47,52.03
2456981,2014,11,19,0,0,3,2,19,44,47.61
2456982,2014,11,20,1,1,6,2,15,35,41.94
2456983,2014,11,21,0,0,2,2,15,33,35.39
2456984,2014,11,22,0,0,1,2,19,41,42.08
2456985,2014,11,23,0,0,3,2,20,42,44.46
2456986,2014,11,24,1,3,15,3,29,63,78.28
2456987,2014,11,25,2,11,29,4,34,70,99.00
2456988,2014,11,26,2,14,35,3,20,53,88.24
2456989,2014,11,27,3,20,48,3,25,60,107.50
2456990,2014,11,28,3,23,49,3,21,48,96.91
2456991,2014,11,29,2,18,42,2,17,40,81.64
2456992,2014,11,30,3,18,51,4,26,62,113.31
2456993,2014,12,1,2,8,27,2,17,42,69.12
2456994,2014,12,2,2,7,26,4,30,68,94.14
2456995,2014,12,3,2,5,20,3,26,58,78.06
2456996,2014,12,4,2,5,21,2,17,41,61.40
2456997,2014,12,5,1,2,11,3,11,37,47.62
2456998,2014,12,6,1,1,10,3,8,35,44.52
2456999,2014,12,7,1,2,9,2,9,28,36.83
2457000,2014,12,8,1,3,13,2,11,34,47.83
2457001,2014,12,9,1,6,17,3,14,40,56.88
2457002,2014,12,10,2,10,30,3,18,46,75.65
2457003,2014,12,11,3,13,39,3,18,52,90.26
2457004,2014,12,12,2,16,40,3,19,48,88.55
2457005,2014,12,13,3,14,47,4,17,54,101.67
2457006,2014,12,14,3,11,45,4,22,64,108.21
2457007,2014,12,15,3,12,40,4,27,63,103.40
2457008,2014,12,16,3,10,38,4,33,71,109.65
2457009,2014,12,17,3,9,35,4,47,84,118.78
2457010,2014,12,18,2,10,34,3,44,76,110.53
2457011,2014,12,19,3,13,44,4,53,90,133.96
2457012,2014,12,20,2,6,30,3,39,69,98.83
2457013,2014,12,21,3,5,34,3,36,66,99.33
2457014,2014,12,22,3,8,38,3,29,57,94.09
2457015,2014,12,23,2,7,28,4,22,57,85.00
2457016,2014,12,24,2,4,20,3,12,44,63.58
2457017,2014,12,25,2,4,22,4,13,48,70.10
2457018,2014,12,26,2,4,20,3,15,41,60.72
2457019,2014,12,27,1,3,14,3,12,39,52.41
2457020,2014,12,28,1,2,16,4,15,51,66.94
2457021,2014,12,29,1,2,13,3,11,37,50.16
2457022,2014,12,30,1,3,17,3,13,41,57.71
2457023,2014,12,31,1,2,10,3,18,50,59.42
2457024,2015,01,1,1,1,8,4,22,59,67.21
2457025,2015,01,2,1,1,7,5,27,73,79.55
2457026,2015,01,3,0,0,3,5,28,74,77.12
2457027,2015,01,4,0,0,1,4,29,71,71.74
2457028,2015,01,5,0,0,2,3,24,51,52.95
2457029,2015,01,6,1,3,11,3,26,55,66.00
2457030,2015,01,7,1,9,21,2,15,37,57.97
2457031,2015,01,8,2,14,33,2,13,34,67.26
2457032,2015,01,9,2,22,46,3,9,37,82.97
2457033,2015,01,10,2,19,41,3,11,41,82.00
2457034,2015,01,11,2,16,35,4,14,50,84.61
2457035,2015,01,12,2,15,33,3,14,45,78.27
2457036,2015,01,13,2,9,26,3,12,37,63.37
2457037,2015,01,14,1,3,15,2,12,37,52.03
2457038,2015,01,15,1,3,14,1,9,23,36.70
2457039,2015,01,16,1,2,10,1,6,17,26.73
2457040,2015,01,17,0,1,5,1,5,16,21.38
2457041,2015,01,18,1,2,8,2,13,35,43.27
2457042,2015,01,19,1,3,13,2,11,32,45.06
2457043,2015,01,20,1,2,14,2,8,29,42.41
2457044,2015,01,21,1,1,8,1,7,20,27.68
2457045,2015,01,22,1,1,10,2,6,24,34.22
2457046,2015,01,23,1,3,12,1,7,20,31.97
2457047,2015,01,24,1,4,14,2,10,27,40.97
2457048,2015,01,25,1,7,21,1,8,21,41.39
2457049,2015,01,26,2,12,33,2,22,44,76.55
2457050,2015,01,27,2,13,35,2,31,56,90.93
2457051,2015,01,28,3,13,39,3,28,58,96.55
2457052,2015,01,29,2,17,38,3,24,50,88.00
2457053,2015,01,30,2,21,42,3,24,53,95.47
2457054,2015,01,31,3,25,51,2,17,38,88.71
2457055,2015,02,1,2,21,43,1,10,24,67.07
2457056,2015,02,2,2,18,36,2,8,25,61.70
2457057,2015,02,3,1,19,33,2,6,21,53.90
2457058,2015,02,4,2,28,47,1,6,17,64.08
2457059,2015,02,5,2,24,47,1,8,17,63.34
2457060,2015,02,6,2,12,30,1,11,25,55.61
2457061,2015,02,7,2,10,29,1,11,21,49.37
2457062,2015,02,8,2,11,34,1,13,22,55.87
2457063,2015,02,9,3,16,47,1,13,22,68.33
2457064,2015,02,10,2,14,37,1,8,16,52.62
2457065,2015,02,11,2,10,28,1,5,12,39.81
2457066,2015,02,12,2,8,26,1,2,9,34.83
2457067,2015,02,13,2,9,28,0,1,5,33.70
2457068,2015,02,14,2,10,27,0,0,2,28.48
2457069,2015,02,15,2,7,22,1,4,14,36.72
2457070,2015,02,16,1,5,16,1,2,10,25.38
2457071,2015,02,17,1,3,15,0,1,4,18.71
2457072,2015,02,18,2,7,29,2,5,22,51.48
2457073,2015,02,19,2,9,31,2,4,19,50.39
2457074,2015,02,20,1,6,18,1,5,17,35.04
2457075,2015,02,21,2,8,26,1,3,13,39.46
2457076,2015,02,22,2,7,23,0,1,5,28.46
2457077,2015,02,23,2,9,25,1,2,8,32.82
2457078,2015,02,24,1,8,20,0,1,6,25.96
2457079,2015,02,25,1,6,16,0,1,4,19.86
2457080,2015,02,26,1,6,18,1,2,8,26.07
2457081,2015,02,27,1,7,17,1,6,14,31.09
2457082,2015,02,28,1,10,23,1,7,18,40.67
2457083,2015,03,1,1,14,28,1,6,20,47.65
2457084,2015,03,2,1,8,20,1,9,18,37.83
2457085,2015,03,3,1,6,18,1,9,18,36.00
2457086,2015,03,4,1,5,15,1,7,16,30.38
2457087,2015,03,5,1,3,11,1,2,8,18.94
2457088,2015,03,6,1,2,7,1,2,11,18.44
2457089,2015,03,7,0,0,1,1,4,10,11.89
2457090,2015,03,8,0,0,0,1,8,18,18.27
2457091,2015,03,9,0,0,1,1,9,17,18.13
2457092,2015,03,10,0,0,1,1,11,17,18.03
2457093,2015,03,11,0,1,4,1,15,27,31.27
2457094,2015,03,12,0,1,4,2,18,36,39.55
2457095,2015,03,13,0,1,6,2,20,42,47.55
2457096,2015,03,14,0,0,3,2,18,34,36.13
2457097,2015,03,15,0,1,4,2,20,40,44.25
2457098,2015,03,16,0,2,7,1,8,18,24.03
2457099,2015,03,17,1,2,11,1,5,14,24.97
2457100,2015,03,18,2,7,24,1,3,12,35.97
2457101,2015,03,19,2,6,23,1,2,9,32.57
2457102,2015,03,20,1,3,17,0,0,2,18.62
2457103,2015,03,21,1,2,13,1,3,14,26.72
2457104,2015,03,22,2,6,25,2,8,27,51.90
2457105,2015,03,23,3,10,41,1,10,24,65.34
2457106,2015,03,24,4,10,49,2,10,27,75.60
2457107,2015,03,25,3,7,36,2,13,30,65.79
2457108,2015,03,26,3,6,36,2,15,39,75.83
2457109,2015,03,27,4,9,47,2,15,34,80.73
2457110,2015,03,28,2,4,24,2,13,31,55.22
2457111,2015,03,29,1,3,14,2,10,27,41.34
2457112,2015,03,30,1,2,11,2,8,23,33.91
2457113,2015,03,31,1,1,7,2,5,21,28.08
2457114,2015,04,1,1,3,10,1,2,14,23.95
2457115,2015,04,2,1,5,12,1,1,7,18.72
2457116,2015,04,3,1,5,16,0,1,5,20.56
2457117,2015,04,4,1,4,18,1,6,17,34.95
2457118,2015,04,5,1,4,17,1,7,14,31.34
2457119,2015,04,6,1,4,14,1,9,17,30.67
2457120,2015,04,7,1,6,14,1,11,19,32.55
2457121,2015,04,8,1,4,12,1,9,17,28.36
2457122,2015,04,9,0,2,7,1,9,17,23.29
2457123,2015,04,10,1,1,6,1,8,17,23.12
2457124,2015,04,11,2,6,21,1,8,19,39.89
2457125,2015,04,12,1,10,24,1,6,19,43.94
2457126,2015,04,13,2,14,34,2,7,22,55.95
2457127,2015,04,14,3,20,50,1,4,15,65.29
2457128,2015,04,15,3,26,54,0,1,5,59.15
2457129,2015,04,16,3,32,63,0,0,3,66.06
2457130,2015,04,17,3,31,63,1,3,15,78.28
2457131,2015,04,18,3,26,56,2,4,19,74.95
2457132,2015,04,19,3,28,62,2,5,22,84.31
2457133,2015,04,20,3,22,57,1,6,19,76.00
2457134,2015,04,21,3,15,45,2,9,28,73.63
2457135,2015,04,22,4,15,51,2,10,28,79.08
2457136,2015,04,23,3,10,45,1,9,21,65.95
2457137,2015,04,24,3,6,31,1,12,24,55.61
2457138,2015,04,25,2,5,24,1,10,23,47.39
2457139,2015,04,26,1,5,18,2,9,27,45.29
2457140,2015,04,27,1,2,10,2,7,22,31.82
2457141,2015,04,28,1,2,9,1,3,16,25.21
2457142,2015,04,29,0,1,3,1,1,8,10.86
2457143,2015,04,30,0,0,1,1,2,9,10.54
2457144,2015,05,1,0,0,1,1,5,16,16.85
2457145,2015,05,2,0,0,2,1,10,24,25.90
2457146,2015,05,3,1,2,7,1,14,26,33.33
2457147,2015,05,4,1,8,21,1,17,32,52.71
2457148,2015,05,5,2,15,36,1,20,32,68.53
2457149,2015,05,6,2,19,42,2,21,39,81.10
2457150,2015,05,7,2,19,40,3,19,45,85.34
2457151,2015,05,8,2,25,48,3,16,44,91.42
2457152,2015,05,9,2,29,49,3,9,36,84.44
2457153,2015,05,10,2,32,53,3,10,42,95.03
2457154,2015,05,11,3,33,60,3,6,33,92.78
2457155,2015,05,12,2,26,51,2,7,29,80.42
2457156,2015,05,13,3,29,61,3,9,35,96.37
2457157,2015,05,14,3,26,59,3,9,37,96.69
2457158,2015,05,15,3,17,44,2,9,34,77.43
2457159,2015,05,16,2,12,34,3,8,37,71.39
2457160,2015,05,17,2,6,22,3,7,37,59.19
2457161,2015,05,18,1,3,18,3,7,39,56.65
2457162,2015,05,19,1,3,13,2,5,25,38.56
2457163,2015,05,20,1,3,12,2,4,25,37.22
2457164,2015,05,21,1,3,13,2,4,20,32.82
2457165,2015,05,22,1,6,18,2,4,21,39.05
2457166,2015,05,23,1,5,15,2,7,27,41.42
2457167,2015,05,24,1,6,15,2,9,33,47.26
2457168,2015,05,25,1,3,10,3,6,32,42.09
2457169,2015,05,26,1,2,10,2,4,19,28.62
2457170,2015,05,27,1,1,6,1,2,12,17.92
2457171,2015,05,28,0,0,1,1,1,9,9.69
2457172,2015,05,29,0,1,4,1,1,10,14.14
2457173,2015,05,30,0,2,6,1,1,8,14.74
2457174,2015,05,31,0,1,4,1,4,18,22.44
2457175,2015,06,1,0,0,2,2,8,29,30.69
2457176,2015,06,2,1,1,7,2,8,26,33.03
2457177,2015,06,3,1,7,21,1,4,18,38.82
2457178,2015,06,4,2,12,33,1,4,18,50.72
2457179,2015,06,5,3,19,50,1,2,16,65.85
2457180,2015,06,6,3,24,55,2,5,23,78.83
2457181,2015,06,7,3,23,53,2,5,22,75.05
2457182,2015,06,8,3,23,53,1,4,17,70.86
2457183,2015,06,9,3,24,55,1,3,15,70.53
2457184,2015,06,10,3,24,57,1,4,12,69.21
2457185,2015,06,11,3,16,41,1,5,16,57.06
2457186,2015,06,12,2,17,41,1,10,23,63.76
2457187,2015,06,13,2,13,37,2,13,34,71.34
2457188,2015,06,14,2,8,29,2,16,35,64.74
2457189,2015,06,15,1,5,13,2,15,32,44.40
2457190,2015,06,16,2,8,25,1,16,29,54.06
2457191,2015,06,17,2,13,29,1,17,28,56.52
2457192,2015,06,18,1,21,32,1,14,21,52.68
2457193,2015,06,19,1,14,20,1,14,20,40.53
2457194,2015,06,20,1,19,26,1,11,18,44.05
2457195,2015,06,21,1,18,25,1,9,16,40.79
2457196,2015,06,22,1,16,23,1,5,11,34.29
2457197,2015,06,23,1,20,27,0,1,5,31.73
2457198,2015,06,24,1,18,24,0,0,0,24.78
2457199,2015,06,25,1,12,19,0,0,0,18.71
2457200,2015,06,26,1,8,15,0,0,0,15.35
2457201,2015,06,27,1,6,15,0,0,1,16.15
2457202,2015,06,28,2,5,24,0,0,1,25.53
2457203,2015,06,29,2,5,22,1,1,7,29.72
2457204,2015,06,30,1,8,23,1,1,8,30.84
2457205,2015,07,1,2,12,28,1,2,13,40.65
2457206,2015,07,2,1,10,24,2,4,25,48.92
2457207,2015,07,3,2,10,26,2,7,28,54.09
2457208,2015,07,4,2,10,34,2,8,25,59.36
2457209,2015,07,5,2,15,38,2,10,33,71.03
2457210,2015,07,6,2,16,38,2,6,25,62.61
2457211,2015,07,7,2,20,40,3,10,37,76.84
2457212,2015,07,8,2,15,37,4,13,49,86.21
2457213,2015,07,9,2,12,30,3,10,42,72.34
2457214,2015,07,10,2,13,31,3,6,32,62.71
2457215,2015,07,11,1,10,24,2,5,22,46.04
2457216,2015,07,12,2,6,24,1,4,14,37.71
2457217,2015,07,13,2,5,24,1,4,13,36.33
2457218,2015,07,14,2,3,21,1,3,10,31.49
2457219,2015,07,15,2,4,22,1,3,11,32.94
2457220,2015,07,16,2,6,24,1,1,8,32.02
2457221,2015,07,17,1,7,21,1,1,7,28.12
2457222,2015,07,18,2,7,25,1,1,10,35.33
2457223,2015,07,19,2,8,24,1,1,8,31.39
2457224,2015,07,20,1,9,22,0,0,0,22.46
2457225,2015,07,21,2,10,25,0,0,0,25.17
2457226,2015,07,22,1,8,22,0,0,1,22.85
2457227,2015,07,23,1,5,19,0,0,1,19.27
2457228,2015,07,24,1,1,7,1,2,10,16.41
2457229,2015,07,25,0,0,2,1,10,22,23.64
2457230,2015,07,26,0,0,0,1,14,27,27.78
2457231,2015,07,27,1,1,8,2,16,31,38.54
2457232,2015,07,28,1,1,9,2,18,35,44.10
2457233,2015,07,29,1,2,12,2,13,33,45.59
2457234,2015,07,30,2,5,26,2,8,24,49.63
2457235,2015,07,31,2,7,30,1,6,21,50.71
2457236,2015,08,1,2,5,25,1,2,10,34.45
2457237,2015,08,2,2,5,28,0,1,5,33.50
2457238,2015,08,3,2,7,30,1,2,8,38.49
2457239,2015,08,4,2,9,33,1,8,20,53.11
2457240,2015,08,5,2,7,27,1,15,28,55.33
2457241,2015,08,6,3,8,38,1,15,29,66.91
2457242,2015,08,7,3,7,33,1,18,29,61.35
2457243,2015,08,8,2,4,20,1,14,20,40.21
2457244,2015,08,9,1,2,15,1,18,26,41.26
2457245,2015,08,10,1,2,15,1,17,26,40.57
2457246,2015,08,11,1,2,16,1,18,29,44.97
2457247,2015,08,12,1,4,13,1,11,21,34.34
2457248,2015,08,13,1,5,14,1,7,20,33.82
2457249,2015,08,14,1,4,11,1,5,13,24.34
2457250,2015,08,15,1,3,10,1,7,15,24.67
2457251,2015,08,16,1,1,8,1,8,15,23.44
2457252,2015,08,17,1,1,7,1,5,11,17.69
2457253,2015,08,18,0,1,4,1,7,19,22.97
2457254,2015,08,19,0,0,1,1,14,28,29.64
2457255,2015,08,20,0,1,4,1,21,35,38.74
2457256,2015,08,21,1,3,8,1,21,29,37.42
2457257,2015,08,22,1,2,8,1,24,31,39.20
2457258,2015,08,23,1,4,11,1,29,37,48.37
2457259,2015,08,24,1,2,9,1,28,34,43.37
2457260,2015,08,25,0,1,6,1,23,30,35.52
2457261,2015,08,26,0,1,1,1,20,26,27.47
2457262,2015,08,27,0,0,2,1,18,27,28.97
2457263,2015,08,28,0,0,2,1,13,24,26.15
2457264,2015,08,29,1,1,6,1,8,22,27.77
2457265,2015,08,30,1,2,8,1,2,12,19.51
2457266,2015,08,31,1,6,17,0,1,6,22.89
2457267,2015,09,1,1,6,20,0,1,4,23.98
2457268,2015,09,2,1,5,16,0,1,3,19.12
2457269,2015,09,3,1,2,8,1,1,7,14.67
2457270,2015,09,4,1,2,13,1,2,8,21.13
2457271,2015,09,5,1,2,13,0,0,2,14.70
2457272,2015,09,6,1,3,14,1,2,8,22.62
2457273,2015,09,7,1,2,14,1,2,9,22.34
2457274,2015,09,8,1,2,14,1,3,9,22.41
2457275,2015,09,9,1,2,12,1,4,16,27.51
2457276,2015,09,10,1,2,11,1,6,18,29.06
2457277,2015,09,11,1,2,10,2,15,35,45.29
2457278,2015,09,12,1,2,15,2,18,40,54.92
2457279,2015,09,13,1,1,7,3,15,42,49.26
2457280,2015,09,14,0,0,1,2,12,36,36.54
2457281,2015,09,15,1,2,10,2,13,34,43.69
2457282,2015,09,16,1,3,9,2,13,31,40.13
2457283,2015,09,17,1,5,13,1,16,29,41.80
2457284,2015,09,18,1,5,11,2,17,32,42.30
2457285,2015,09,19,1,6,13,2,12,27,39.75
2457286,2015,09,20,1,5,17,2,7,23,40.00
2457287,2015,09,21,1,8,18,2,6,22,39.81
2457288,2015,09,22,1,12,26,2,6,23,49.10
2457289,2015,09,23,1,15,30,2,7,26,55.44
2457290,2015,09,24,1,13,26,2,11,31,56.90
2457291,2015,09,25,2,21,45,2,19,38,83.43
2457292,2015,09,26,3,20,46,2,21,36,82.36
2457293,2015,09,27,3,15,41,2,19,36,76.68
2457294,2015,09,28,2,17,41,2,22,39,79.14
2457295,2015,09,29,2,19,39,1,21,35,74.29
2457296,2015,09,30,2,13,28,1,21,30,58.89
2457297,2015,10,1,1,16,30,1,14,20,50.17
2457298,2015,10,2,1,11,22,1,9,16,38.04
2457299,2015,10,3,1,11,22,0,1,6,28.26
2457300,2015,10,4,1,6,13,0,0,0,13.76
2457301,2015,10,5,1,3,11,0,0,2,12.32
2457302,2015,10,6,1,1,8,1,1,7,15.29
2457303,2015,10,7,1,1,7,1,2,8,15.39
2457304,2015,10,8,0,0,1,1,3,14,14.61
2457305,2015,10,9,0,0,1,1,2,11,11.86
2457306,2015,10,10,0,0,1,1,1,8,8.28
2457307,2015,10,11,0,0,1,1,2,16,16.76
2457308,2015,10,12,1,3,8,1,4,18,26.16
2457309,2015,10,13,1,4,10,2,8,27,37.58
2457310,2015,10,14,0,1,5,2,8,27,32.50
2457311,2015,10,15,0,0,0,2,11,31,30.70
2457312,2015,10,16,0,0,1,2,14,35,35.88
2457313,2015,10,17,1,2,8,2,15,36,43.68
2457314,2015,10,18,1,5,10,2,9,31,41.76
2457315,2015,10,19,1,10,17,3,13,39,56.00
2457316,2015,10,20,1,12,19,2,12,36,54.97
2457317,2015,10,21,1,17,26,2,9,32,57.79
2457318,2015,10,22,1,20,31,3,9,39,70.23
2457319,2015,10,23,1,12,27,2,5,26,52.68
2457320,2015,10,24,2,15,32,2,5,24,55.45
2457321,2015,10,25,2,12,29,2,2,18,47.10
2457322,2015,10,26,2,13,34,0,1,6,39.41
2457323,2015,10,27,2,10,32,0,1,5,36.54
2457324,2015,10,28,4,14,50,1,3,12,61.88
2457325,2015,10,29,3,14,44,1,2,11,54.97
2457326,2015,10,30,2,15,37,0,2,7,44.00
2457327,2015,10,31,2,17,39,0,1,3,41.91
2457328,2015,11,1,2,23,40,0,3,5,44.72
2457329,2015,11,2,2,35,55,0,2,3,57.90
2457330,2015,11,3,2,34,55,0,2,2,57.57
2457331,2015,11,4,3,41,71,0,0,1,72.52
2457332,2015,11,5,3,25,52,0,0,0,52.31
2457333,2015,11,6,3,25,51,0,1,4,54.62
2457334,2015,11,7,2,13,31,1,5,14,45.80
2457335,2015,11,8,2,8,27,1,8,20,46.71
2457336,2015,11,9,2,7,23,1,9,19,41.14
2457337,2015,11,10,2,8,24,2,12,29,53.35
2457338,2015,11,11,1,5,13,2,9,31,43.82
2457339,2015,11,12,1,4,15,2,5,25,39.70
2457340,2015,11,13,1,4,15,1,3,12,27.36
2457341,2015,11,14,1,3,16,1,2,12,28.05
2457342,2015,11,15,2,10,31,0,1,5,36.70
2457343,2015,11,16,1,5,20,0,0,2,21.23
2457344,2015,11,17,1,7,18,0,1,3,21.00
2457345,2015,11,18,1,6,17,0,0,1,17.43
2457346,2015,11,19,2,11,30,0,0,0,30.57
2457347,2015,11,20,2,13,34,0,1,2,35.83
2457348,2015,11,21,2,17,40,0,1,3,42.56
2457349,2015,11,22,3,21,47,0,1,2,49.19
2457350,2015,11,23,2,12,33,0,1,2,34.70
2457351,2015,11,24,2,13,37,0,0,1,38.00
2457352,2015,11,25,2,11,35,0,1,4,38.52
2457353,2015,11,26,3,13,40,0,0,1,40.85
2457354,2015,11,27,3,11,41,0,0,1,42.11
2457355,2015,11,28,2,9,34,0,0,1,35.35
2457356,2015,11,29,2,7,29,0,1,5,34.36
2457357,2015,11,30,2,7,27,0,0,2,29.12
2457358,2015,12,1,1,6,20,0,0,0,20.50
2457359,2015,12,2,1,5,19,0,0,3,21.41
2457360,2015,12,3,2,3,18,0,1,6,23.43
2457361,2015,12,4,1,1,9,1,2,11,20.31
2457362,2015,12,5,1,1,8,1,4,19,26.69
2457363,2015,12,6,1,2,9,2,5,24,33.43
2457364,2015,12,7,1,2,10,2,6,26,36.61
2457365,2015,12,8,1,1,8,2,8,27,34.61
2457366,2015,12,9,0,1,5,3,13,38,43.48
2457367,2015,12,10,0,0,1,3,12,47,47.87
2457368,2015,12,11,0,0,3,4,14,53,55.80
2457369,2015,12,12,1,2,14,3,12,46,59.96
2457370,2015,12,13,2,7,24,2,8,33,56.75
2457371,2015,12,14,1,9,23,2,6,23,45.55
2457372,2015,12,15,1,8,22,1,4,14,35.41
2457373,2015,12,16,2,14,34,1,4,12,46.30
2457374,2015,12,17,2,11,28,1,2,12,40.16
2457375,2015,12,18,2,14,34,1,2,13,46.80
2457376,2015,12,19,1,9,19,0,1,5,24.71
2457377,2015,12,20,1,6,14,0,0,1,15.55
2457378,2015,12,21,1,4,17,0,1,3,20.45
2457379,2015,12,22,2,8,24,1,7,17,41.15
2457380,2015,12,23,2,7,23,1,8,17,39.42
2457381,2015,12,24,1,8,23,1,12,22,44.44
2457382,2015,12,25,1,6,20,1,16,24,43.54
2457383,2015,12,26,1,3,11,1,19,27,38.19
2457384,2015,12,27,1,6,11,1,20,28,39.20
2457385,2015,12,28,1,6,12,1,22,30,42.77
2457386,2015,12,29,0,3,8,1,15,23,31.21
2457387,2015,12,30,0,1,4,1,8,15,18.75
2457388,2015,12,31,0,0,0,1,5,13,13.35
2457389,2016,01,1,0,0,4,1,5,14,17.42
2457390,2016,01,2,1,1,8,1,4,13,21.32
2457391,2016,01,3,1,3,16,1,9,19,35.42
2457392,2016,01,4,2,4,20,1,6,14,34.43
2457393,2016,01,5,1,1,9,1,5,12,21.34
2457394,2016,01,6,1,2,16,0,1,6,21.43
2457395,2016,01,7,2,7,29,1,5,16,45.00
2457396,2016,01,8,3,11,43,1,5,17,59.92
2457397,2016,01,9,3,16,50,1,5,20,69.48
2457398,2016,01,10,3,15,42,1,1,7,48.48
2457399,2016,01,11,2,8,26,0,1,3,29.59
2457400,2016,01,12,2,6,21,0,0,3,24.15
2457401,2016,01,13,2,5,23,0,0,1,23.70
2457402,2016,01,14,2,5,21,0,0,0,21.33
2457403,2016,01,15,2,7,27,0,0,1,27.67
2457404,2016,01,16,2,7,29,0,0,0,29.71
2457405,2016,01,17,2,6,30,1,1,9,38.90
2457406,2016,01,18,1,4,18,1,1,9,27.59
2457407,2016,01,19,1,3,17,1,2,13,29.69
2457408,2016,01,20,1,5,16,2,8,23,39.21
2457409,2016,01,21,1,7,14,1,10,24,37.97
2457410,2016,01,22,1,10,19,2,8,24,43.32
2457411,2016,01,23,1,10,17,1,7,19,35.97
2457412,2016,01,24,1,14,23,1,4,12,35.03
2457413,2016,01,25,1,13,26,1,2,13,38.21
2457414,2016,01,26,2,16,33,1,2,14,46.68
2457415,2016,01,27,2,22,38,1,4,15,52.50
2457416,2016,01,28,2,17,33,1,4,11,44.22
2457417,2016,01,29,1,12,26,1,3,10,35.92
2457418,2016,01,30,1,5,18,0,1,5,22.24
2457419,2016,01,31,1,3,14,1,2,10,24.32
2457420,2016,02,1,2,4,20,1,4,10,29.84
2457421,2016,02,2,2,5,22,1,4,11,33.50
2457422,2016,02,3,2,9,31,2,12,27,57.83
2457423,2016,02,4,2,12,36,3,22,49,84.76
2457424,2016,02,5,2,8,25,2,17,40,64.89
2457425,2016,02,6,2,8,23,1,9,23,46.19
2457426,2016,02,7,2,13,33,1,10,23,56.21
2457427,2016,02,8,2,15,38,1,9,22,59.83
2457428,2016,02,9,3,20,45,1,7,15,60.29
2457429,2016,02,10,3,19,45,1,4,13,57.70
2457430,2016,02,11,3,21,48,1,2,9,56.26
2457431,2016,02,12,2,16,34,0,1,1,35.59
2457432,2016,02,13,1,17,26,0,1,6,31.80
2457433,2016,02,14,1,17,28,1,3,10,37.70
2457434,2016,02,15,1,12,26,0,1,4,29.74
2457435,2016,02,16,2,9,26,0,0,1,27.21
2457436,2016,02,17,2,5,22,0,0,2,24.22
2457437,2016,02,18,2,4,24,0,0,0,24.88
2457438,2016,02,19,2,6,29,0,0,0,29.50
2457439,2016,02,20,2,12,35,0,0,2,36.64
2457440,2016,02,21,2,13,34,0,0,0,34.03
2457441,2016,02,22,1,7,21,0,0,0,21.45
